frame.number,frame.time,ip.src,ip.dst,tcp.port,frame.len
"219","Oct 22, 2017 12:46:48.113860000 CEST",,,"80","832"
"220","Oct 22, 2017 12:46:48.113934000 CEST",,,"59412","86"
"221","Oct 22, 2017 12:46:48.144127000 CEST",,,"59422","523"
"222","Oct 22, 2017 12:46:48.144260000 CEST",,,"59420","523"
"223","Oct 22, 2017 12:46:48.151750000 CEST",,,"80","86"
"224","Oct 22, 2017 12:46:48.152025000 CEST",,,"80","86"
"225","Oct 22, 2017 12:46:48.164764000 CEST",,,"80","94"
"226","Oct 22, 2017 12:46:48.164858000 CEST",,,"57966","86"
"227","Oct 22, 2017 12:46:48.164924000 CEST",,,"80","94"
"228","Oct 22, 2017 12:46:48.164963000 CEST",,,"57960","86"
"229","Oct 22, 2017 12:46:48.187145000 CEST",,,"80","832"
"230","Oct 22, 2017 12:46:48.187242000 CEST",,,"59420","86"
"231","Oct 22, 2017 12:46:48.187806000 CEST",,,"80","832"
"232","Oct 22, 2017 12:46:48.187857000 CEST",,,"59422","86"
"233","Oct 22, 2017 12:46:48.218194000 CEST","192.168.1.142","93.184.220.29","35402","505"
"234","Oct 22, 2017 12:46:48.230285000 CEST","93.184.220.29","192.168.1.142","80","854"
"235","Oct 22, 2017 12:46:48.230331000 CEST","192.168.1.142","93.184.220.29","35402","66"
"236","Oct 22, 2017 12:46:48.315197000 CEST",,,"50050","520"
"237","Oct 22, 2017 12:46:48.315855000 CEST",,,"57960","526"
"238","Oct 22, 2017 12:46:48.321882000 CEST",,,"80","1506"
"239","Oct 22, 2017 12:46:48.321984000 CEST",,,"50050","86"
"240","Oct 22, 2017 12:46:48.322290000 CEST",,,"80","631"
"241","Oct 22, 2017 12:46:48.322356000 CEST",,,"50050","86"
"242","Oct 22, 2017 12:46:48.405824000 CEST",,,"80","86"
"243","Oct 22, 2017 12:46:48.406475000 CEST",,,"80","946"
"244","Oct 22, 2017 12:46:48.406567000 CEST",,,"57960","86"
"245","Oct 22, 2017 12:46:48.406693000 CEST",,,"80","86"
"246","Oct 22, 2017 12:46:48.447446000 CEST",,,"57960","86"
"247","Oct 22, 2017 12:46:48.608323000 CEST",,,"57960","86"
"248","Oct 22, 2017 12:46:48.626959000 CEST","192.168.1.142","93.184.220.29","35396","505"
"249","Oct 22, 2017 12:46:48.640153000 CEST","93.184.220.29","192.168.1.142","80","854"
"250","Oct 22, 2017 12:46:48.640206000 CEST","192.168.1.142","93.184.220.29","35396","66"
"251","Oct 22, 2017 12:46:48.697244000 CEST",,,"80","86"
"252","Oct 22, 2017 12:46:48.767997000 CEST",,,"59408","521"
"253","Oct 22, 2017 12:46:48.768141000 CEST",,,"59406","521"
"254","Oct 22, 2017 12:46:48.779825000 CEST",,,"80","86"
"255","Oct 22, 2017 12:46:48.812378000 CEST",,,"80","832"
"256","Oct 22, 2017 12:46:48.812513000 CEST",,,"59408","86"
"257","Oct 22, 2017 12:46:48.813072000 CEST",,,"80","832"
"258","Oct 22, 2017 12:46:48.813143000 CEST",,,"59406","86"
"259","Oct 22, 2017 12:46:48.837356000 CEST","192.168.1.142","188.121.36.239","60288","74"
"260","Oct 22, 2017 12:46:48.837941000 CEST",,,"57966","525"
"261","Oct 22, 2017 12:46:48.858184000 CEST","188.121.36.239","192.168.1.142","80","74"
"262","Oct 22, 2017 12:46:48.858285000 CEST","192.168.1.142","188.121.36.239","60288","66"
"263","Oct 22, 2017 12:46:48.936484000 CEST",,,"80","86"
"264","Oct 22, 2017 12:46:48.936658000 CEST",,,"80","945"
"265","Oct 22, 2017 12:46:48.936771000 CEST",,,"57966","86"
"266","Oct 22, 2017 12:46:48.936839000 CEST",,,"80","86"
"267","Oct 22, 2017 12:46:48.977455000 CEST",,,"57966","86"
"268","Oct 22, 2017 12:46:49.134417000 CEST",,,"57966","86"
"269","Oct 22, 2017 12:46:49.190384000 CEST","192.168.1.142","93.184.220.29","35402","505"
"270","Oct 22, 2017 12:46:49.200792000 CEST","93.184.220.29","192.168.1.142","80","854"
"271","Oct 22, 2017 12:46:49.200876000 CEST","192.168.1.142","93.184.220.29","35402","66"
"272","Oct 22, 2017 12:46:49.201107000 CEST","192.168.1.142","93.184.220.29","35396","505"
